id,name,iso_country,iso_region,municipality,iata_code
336107,Garze Gesar Airport,CN,CN-51,Garze (Garze),GZG
300512,Jiuzhai Huanglong Airport,CN,CN-51,Ngawa (Songpan),JZH
327350,Kangding Airport,CN,CN-51,Garze (Kangding),KGT
313427,Kaili Huangping Airport,CN,CN-52,Kaili  (Huangping),KJH
327351,Libo Airport,CN,CN-52,Qiannan (Libo),LLB
31819,Liangping Airport,CN,CN-50,Liangping,LIA
31867,Lhasa Gonggar Airport,CN,CN-54,Shannan (Gonggar),LXA
336114,Luzhou Yunlong Airport,CN,CN-51,Luzhou (Yunlong),LZO
308767,Ondorkhaan Airport,MN,MN-039,Ondorkhaan,UNR
327355,Zunyi Maotai Airport,CN,CN-52,Zunyi,WMT
31908,Mianyang Nanjiao Airport,CN,CN-51,Mianyang (Fucheng),MIG
32003,Nanchong Gaoping Airport,CN,CN-51,Nanchong (Gaoping),NAO
308782,Liping Airport,CN,CN-52,Liping,HZH
31876,Nyingchi Mainling Airport,CN,CN-54,Nyingchi (Mainling),LZY
327352,Liupanshui Yuezhao Airport,CN,CN-52,Liupanshui (Zhongshan),LPF
300514,Tengchong Tuofeng Airport,CN,CN-53,Baoshan (Tengchong),TCZ
342095,Chengdu Tianfu International Airport,CN,CN-51,Chengdu (Jianyang),TFU
302314,Tongren Fenghuang Airport,CN,CN-52,Tongren (Daxing),TEN
27230,Chengdu Shuangliu International Airport,CN,CN-51,Chengdu (Shuangliu),CTU
350117,Chongqing Xiannushan Airport,CN,CN-50,Wulong,CQW
336105,Chongqing Wushan Airport,CN,CN-50,Wushan,WSK
32688,Wanzhou Wuqiao Airport,CN,CN-50,Wanzhou,WXN
27231,Xichang Qingshan Airport,CN,CN-51,Liangshan (Xichang),XIC
301647,Xingyi Wanfenglin Airport,CN,CN-52,Xingyi,ACX
308403,Zunyi Xinzhou Airport,CN,CN-52,Zunyi,ZYI
30635,Aksu Hongqipo Airport,CN,CN-65,Aksu (Onsu),AKU
354654,Aral Tarim Airport,CN,CN-65,Aral,ACF
46650,Bole Alashankou Airport,CN,CN-65,Bole,BPL
31684,Qiemo Yudu Airport,CN,CN-65,Qiemo,IQM
323219,Fuyun Koktokay Airport,CN,CN-65,Fuyun,FYN
31609,Hami Airport,CN,CN-65,Hami,HMI
31731,Kuqa Qiuci Airport,CN,CN-65,Kuqa,KCA
31771,Korla Licheng Airport,CN,CN-65,Korla,KRL
35310,Karamay Airport,CN,CN-65,Karamay,KRY
313426,Burqin Kanas Airport,CN,CN-65,Burqin,KJI
316548,Xinyuan Nalati Airport,CN,CN-65,Xinyuan,NLT
333070,Ruoqiang Loulan Airport,CN,CN-65,Ruoqiang Town,RQA
326731,Shache Airport,CN,CN-65,Shache,QSZ
27234,Kashgar Airport,CN,CN-65,Kashgar,KHG
32406,Shanshan Airport,CN,CN-65,Shanshan,SXJ
28144,Tacheng Airport,CN,CN-65,Tacheng,TCG
314799,Turpan Jiaohe Airport,CN,CN-65,Turpan,TLQ
27235,Hotan Airport,CN,CN-65,Hotan,HTN
27236,Urumqi Diwopu International Airport,CN,CN-65,Urumqi,URC
32725,Yining Airport,CN,CN-65,Ili (Yining / Ghulja),YIN
342843,Yutian Wanfang Airport,CN,CN-65,Hotan (Yutian),YTW
30646,Anshan Teng'ao Airport / Anshan Air Base,CN,CN-21,Anshan,AOG
27237,Changchun Longjia International Airport,CN,CN-22,Changchun,CGQ
300858,Changhai Airport,CN,CN-21,"Changhai, Dalian",CNI
30827,Chaoyang Airport,CN,CN-21,"Shuangta, Chaoyang",CHG
327349,Wudalianchi Dedu Airport,CN,CN-23,Heihe,DTU
313994,Fuyuan Dongji Aiport,CN,CN-23,Fuyuan,FYJ
27238,Harbin Taiping International Airport,CN,CN-23,Harbin,HRB
31576,Heihe Aihui Airport,CN,CN-23,Heihe,HEK
31701,Jilin Ertaizi Airport,CN,CN-22,Jilin,JIL
27239,Jiamusi Dongjiao Airport,CN,CN-23,Jiamusi,JMU
327450,Jiansanjiang Shidi Airport,CN,CN-23,Jiansanjiang,JSJ
313337,Jixi Xingkaihu Airport,CN,CN-23,Jixi,JXA
307012,Yichun Lindu Airport,CN,CN-23,Yichun,LDS
300516,Yushu Batang Airport,CN,CN-63,Yushu (Batang),YUS
27240,Mudanjiang Hailang International Airport,CN,CN-23,Mudanjiang,MDG
301193,Mohe Gulian Airport,CN,CN-23,Mohe,OHE
27241,Qiqihar Sanjiazi Airport,CN,CN-23,Qiqihar,NDG
327451,Songyuan Chaganhu Airport,CN,CN-22,Qian Gorlos Mongol Autonomous County,YSQ
27242,Dalian Zhoushuizi International Airport,CN,CN-21,"Ganjingzi, Dalian",DLC
307013,Tonghua Sanyuanpu Airport,CN,CN-22,Tonghua,TNH
27243,Shenyang Taoxian International Airport,CN,CN-21,"Hunnan, Shenyang",SHE
27244,Yanji Chaoyangchuan Airport,CN,CN-22,Yanji,YNJ
317861,Yingkou Lanqi Airport,CN,CN-21,"Laobian, Yingkou",YKH
